Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
418543,Perr Schuurs,1999,Centre-Back,"1,91 m",right,€15.00m,Serie A
286949,Adam Masina,1994,Centre-Back,"1,91 m",left,€1.50m,Serie A
186368,Valentino Lazaro,1996,Left Midfield,"1,81 m",right,€3.50m,Serie A
655456,Saba Sazonov,2002,Centre-Back,"1,94 m",right,€2.50m,Serie A
551752,Demba Seck,2001,Right Winger,"1,90 m",left,€1.00m,Serie A
413605,David Okereke,1997,Centre-Forward,"1,81 m",right,€2.40m,Serie A
357992,Raoul Bellanova,2000,Right Midfield,"1,88 m",right,€22.00m,Serie A
225873,Karol Linetty,1995,Central Midfield,"1,75 m",right,€3.50m,Serie A
928900,Zanos Savva,2005,Right Winger,"1,91 m",left,€1.00m,Serie A
715470,Brian Bayeye,2000,Right Midfield,"1,82 m",right,€400k,Serie A
914880,Matteo Brezzo,2005,Goalkeeper,,,€25k,Serie A
623412,Mihai Popa,2000,Goalkeeper,"1,90 m",right,€800k,Serie A
234523,Antonio Sanabria,1996,Centre-Forward,"1,80 m",right,€6.00m,Serie A
934527,Alieu Njie,2005,Left Winger,"1,85 m",right,€2.50m,Serie A
364133,Pietro Pellegri,2001,Centre-Forward,"1,89 m",right,€3.00m,Serie A
1074917,Jonathan Silva,2004,Central Midfield,,left,€500k,Serie A
648779,Wilfried Singo,2000,Centre-Back,"1,90 m",right,€25.00m,Serie A
1059298,Côme Bianay Balcot,2005,Centre-Back,"1,88 m",right,€200k,Serie A
544149,David Zima,2000,Centre-Back,"1,92 m",right,€4.50m,Serie A
815483,Jacopo Antolini,2004,Left Midfield,,left,€50k,Serie A
470794,Ivan Ilić,2001,Central Midfield,"1,86 m",left,€18.00m,Serie A
710968,Uros Kabic,2004,Right Winger,"1,83 m",left,€500k,Serie A
293200,Nikola Vlašić,1997,Attacking Midfield,"1,79 m",right,€7.00m,Serie A
467992,Samuele Ricci,2001,Defensive Midfield,"1,81 m",right,€28.00m,Serie A
743091,Emirhan İlkhan,2004,Central Midfield,"1,75 m",right,€2.50m,Serie A
257474,Vanja Milinković-Savić,1997,Goalkeeper,"2,02 m",right,€8.00m,Serie A
245078,Nemanja Radonjić,1996,Left Winger,"1,82 m",both,€3.50m,Serie A
86784,Ricardo Rodríguez,1992,Left-Back,"1,82 m",left,€2.50m,Serie A
798929,Gvidas Gineitis,2004,Central Midfield,"1,91 m",left,€4.00m,Serie A
546880,Brandon Soppy,2002,Right-Back,"1,80 m",right,€1.50m,Serie A
459655,Matteo Lovato,2000,Centre-Back,"1,88 m",right,€3.00m,Serie A
157507,Adrien Tamèze,1994,Defensive Midfield,"1,82 m",right,€3.50m,Serie A
724108,Aaron Ciammaglichella,2005,Central Midfield,"1,80 m",right,€1.00m,Serie A
463792,Luca Gemello,2000,Goalkeeper,"1,90 m",right,€200k,Serie A
386446,Alessandro Buongiorno,1999,Centre-Back,"1,90 m",left,€45.00m,Serie A
130360,Simone Verdi,1992,Attacking Midfield,"1,74 m",both,€2.00m,Serie A
324804,Yann Karamoh,1998,Left Winger,"1,84 m",right,€1.80m,Serie A
183031,Koffi Djidji,1992,Centre-Back,"1,84 m",right,€2.00m,Serie A
810086,Vimoj Muntu Wa Mungu,2004,Left-Back,"1,67 m",left,€300k,Serie A
804799,Ange Caumenan N'Guessan,2003,Centre-Back,"1,87 m",right,€200k,Serie A
1004344,Ali Dembélé,2004,Right Midfield,"1,89 m",right,€800k,Serie A
336125,Mërgim Vojvoda,1995,Right-Back,"1,87 m",right,€3.00m,Serie A
704825,Alessandro Dellavalle,2004,Centre-Back,,right,€1.00m,Serie A
73794,Duván Zapata,1991,Centre-Forward,"1,88 m",right,€4.00m,Serie A
617164,Pietro Passador,2003,Goalkeeper,"1,96 m",left,€75k,Serie A
898356,Alessandro Berretta,2022,Central Midfield,,,,Serie A
314965,Pedro Pereira,1998,Right-Back,"1,85 m",right,€1.80m,Serie A
357995,Davide Bettella,2000,Centre-Back,"1,85 m",right,€300k,Serie A
487843,Lorenzo Colombo,2002,Centre-Forward,"1,83 m",left,€6.00m,Serie A
708079,Andrea Ferraris,2003,Left Winger,,right,€250k,Serie A
255838,Patrick Ciurria,1995,Right Midfield,"1,78 m",both,€3.00m,Serie A
311178,Georgios Kyriakopoulos,1996,Left Midfield,"1,86 m",left,€3.50m,Serie A
210178,Pablo Marí,1993,Centre-Back,"1,93 m",left,€3.50m,Serie A
55769,Danilo D'Ambrosio,1988,Centre-Back,"1,80 m",right,€800k,Serie A
244491,Stefano Gori,1996,Goalkeeper,"1,85 m",right,€500k,Serie A
146752,Gianluca Caprari,1993,Second Striker,"1,71 m",right,€2.50m,Serie A
67556,Milan Djuric,1990,Centre-Forward,"1,99 m",right,€1.50m,Serie A
85240,Eugenio Lamanna,1989,Goalkeeper,"1,87 m",right,€100k,Serie A
170481,Jean-Daniel Akpa Akpro,1992,Central Midfield,"1,80 m",right,€500k,Serie A
815567,Andrea Mazza,2004,Goalkeeper,"1,90 m",right,€75k,Serie A
392959,Andrea Colpani,1999,Attacking Midfield,"1,84 m",left,€16.00m,Serie A
539134,Daniel Maldini,2001,Attacking Midfield,"1,88 m",right,€6.00m,Serie A
1012421,Matija Popovic,2006,Attacking Midfield,"1,93 m",right,€2.00m,Serie A
197471,Roberto Gagliardini,1994,Central Midfield,"1,88 m",right,€2.00m,Serie A
433584,Alessio Zerbin,1999,Left Winger,"1,82 m",right,€3.50m,Serie A
20005,Papu Gómez,1988,Left Winger,"1,67 m",right,-,Serie A
301238,Michele Di Gregorio,1997,Goalkeeper,"1,87 m",right,€18.00m,Serie A
650966,Samuele Vignato,2004,Attacking Midfield,"1,72 m",right,€3.50m,Serie A
215649,Mirko Maric,1995,Centre-Forward,"1,88 m",left,€700k,Serie A
355104,José Machín,1996,Central Midfield,"1,84 m",right,€500k,Serie A
88680,Luca Caldirola,1991,Centre-Back,"1,86 m",left,€1.00m,Serie A
787618,Valentín Carboni,2005,Attacking Midfield,"1,85 m",left,€12.00m,Serie A
461019,Samuele Birindelli,1999,Right-Back,"1,76 m",right,€3.50m,Serie A
332179,Matteo Pessina,1997,Central Midfield,"1,87 m",left,€12.00m,Serie A
891869,Leonardo Colombo,2005,Defensive Midfield,,right,€250k,Serie A
542588,Alessandro Sorrentino,2002,Goalkeeper,"1,90 m",right,€700k,Serie A
731491,Franco Carboni,2003,Left-Back,"1,90 m",left,€900k,Serie A
481834,Andrea Carboni,2001,Centre-Back,"1,87 m",left,€4.00m,Serie A
88684,Giulio Donati,1990,Right-Back,"1,78 m",right,€300k,Serie A
347253,Dany Mota,1998,Second Striker,"1,80 m",right,€5.00m,Serie A
32113,Armando Izzo,1992,Centre-Back,"1,83 m",right,€2.50m,Serie A
659516,Warren Bondo,2003,Central Midfield,"1,77 m",right,€7.00m,Serie A
199258,Andrea Petagna,1995,Centre-Forward,"1,90 m",left,€2.00m,Serie A
616628,Giorgio Cittadini,2002,Centre-Back,"1,93 m",right,€1.00m,Serie A
586853,Vitinha,2000,Centre-Forward,"1,78 m",right,€13.00m,Serie A
469787,Berkan Kutlu,1998,Central Midfield,"1,86 m",left,€3.80m,Serie A
68864,Kevin Strootman,1990,Central Midfield,"1,86 m",left,-,Serie A
208690,George Pușcaș,1996,Centre-Forward,"1,88 m",right,€1.30m,Serie A
934876,Riccardo Arboscello,2005,Central Midfield,,,€200k,Serie A
33763,Massimo Coda,1988,Centre-Forward,"1,84 m",right,€1.00m,Serie A
237666,Silvan Hefti,1997,Right-Back,"1,83 m",right,€1.50m,Serie A
315862,Filippo Melegoni,1999,Central Midfield,"1,86 m",right,€1.00m,Serie A
406806,Emil Bohinen,1999,Defensive Midfield,"1,89 m",left,€1.80m,Serie A
200188,Mattia Aramu,1995,Attacking Midfield,"1,80 m",left,€1.00m,Serie A
330208,Alessandro Vogliacco,1998,Centre-Back,"1,86 m",right,€2.00m,Serie A
251878,Aarón Martín,1997,Left-Back,"1,78 m",left,€5.00m,Serie A
207877,Ruslan Malinovskyi,1993,Attacking Midfield,"1,81 m",left,€3.50m,Serie A
199927,Davide Biraschi,1994,Centre-Back,"1,82 m",right,€700k,Serie A
305947,Albert Gudmundsson,1997,Second Striker,"1,77 m",right,€28.00m,Serie A
723485,Léandre Kuavita,2004,Central Midfield,"1,80 m",left,€1.20m,Serie A
684317,Faroukou Cissé,2004,Centre-Back,"1,87 m",right,-,Serie A
449151,Junior Messias,1991,Right Winger,"1,74 m",left,€2.00m,Serie A
818906,Yoan Bornosuzov,2004,Centre-Forward,"1,95 m",right,€100k,Serie A
940135,Christos Papadopoulos,2004,Attacking Midfield,"1,88 m",left,€800k,Serie A
40633,Milan Badelj,1989,Defensive Midfield,"1,86 m",right,€800k,Serie A
226524,Morten Thorsby,1996,Central Midfield,"1,88 m",right,€3.00m,Serie A
490384,Koni De Winter,2002,Centre-Back,"1,91 m",right,€12.00m,Serie A
866250,Seydou Fini,2006,Right Winger,"1,78 m",left,€1.50m,Serie A
934863,Tommaso Pittino,2005,Centre-Back,,,€150k,Serie A
176139,Mattia Bani,1993,Centre-Back,"1,88 m",right,€2.00m,Serie A
228444,Ridgeciano Haps,1993,Left-Back,"1,75 m",left,€1.00m,Serie A
242813,Filip Jagiello,1997,Central Midfield,"1,79 m",right,€800k,Serie A
554903,Mateo Retegui,1999,Centre-Forward,"1,86 m",right,€35.00m,Serie A
312773,Daniele Sommariva,1997,Goalkeeper,"1,85 m",right,€100k,Serie A
483348,Djed Spence,2000,Right-Back,"1,84 m",right,€8.00m,Serie A
199953,Caleb Ekuban,1994,Centre-Forward,"1,82 m",right,€1.50m,Serie A
532937,Johan Vásquez,1998,Centre-Back,"1,85 m",left,€10.00m,Serie A
136111,Nicola Leali,1993,Goalkeeper,"1,88 m",right,€800k,Serie A
818929,Simone Calvani,2005,Goalkeeper,"1,89 m",right,€150k,Serie A
313830,Pablo Galdames,1996,Central Midfield,"1,76 m",right,€1.50m,Serie A
568559,Radu Drăgușin,2002,Centre-Back,"1,91 m",right,€25.00m,Serie A
388516,Josep Martínez,1998,Goalkeeper,"1,91 m",right,€12.00m,Serie A
167491,Stefano Sabelli,1993,Right-Back,"1,76 m",right,€1.50m,Serie A
881610,David Ankeye,2002,Centre-Forward,"1,91 m",right,€1.80m,Serie A
462699,Franz Stolz,2001,Goalkeeper,"1,93 m",right,€200k,Serie A
503871,Morten Frendrup,2001,Central Midfield,"1,78 m",right,€20.00m,Serie A
861981,Alan Matturro,2004,Centre-Back,"1,89 m",left,€8.00m,Serie A
240414,Alex Meret,1997,Goalkeeper,"1,90 m",left,€12.00m,Serie A
354361,Frank Anguissa,1995,Central Midfield,"1,84 m",right,€27.00m,Serie A
391065,Hamed Junior Traoré,2000,Attacking Midfield,"1,77 m",right,€18.00m,Serie A
400489,Eljif Elmas,1999,Attacking Midfield,"1,84 m",right,€12.00m,Serie A
316889,Hirving Lozano,1995,Left Winger,"1,75 m",right,€12.00m,Serie A
367284,Leo Østigård,1999,Centre-Back,"1,83 m",right,€7.00m,Serie A
513245,Jesper Lindstrøm,2000,Right Winger,"1,82 m",right,€20.00m,Serie A
468066,Jens Cajuste,1999,Defensive Midfield,"1,88 m",right,€12.00m,Serie A
87884,Mário Rui,1991,Left-Back,"1,68 m",left,€1.00m,Serie A
192735,Stanislav Lobotka,1994,Defensive Midfield,"1,68 m",right,€28.00m,Serie A
397225,Alessandro Zanoli,2000,Right-Back,"1,88 m",right,€6.00m,Serie A
